ID,errorCode,messageClass,patternDescription,rootCauseTemplate,layer,recommendedAction,fioriAppId,frequency,successRate,isActive
1,KS113,KS,"Cost center blocked for primary postings","The cost center {costCenter} has an active posting block (lock indicator) for primary cost postings in fiscal year {fiscalYear} / period {fiscalPeriod}. This typically occurs after period-end closure or when finance controls restrict postings to specific cost centers.",MASTER_DATA,"Unlock cost center via 'Manage Cost Centers' app or use an alternative active cost center. If unlock is not permitted, raise a workflow request to the Controlling team.",F1482,342,94.50,true
2,KS114,KS,"Cost center blocked for secondary postings","The cost center {costCenter} is locked for secondary cost postings (internal activity allocations, assessments, distributions) for the specified period. This prevents allocation cycles and internal orders from posting to this cost center.",MASTER_DATA,"Check the lock indicators in cost center master data. Contact the CO team to unlock secondary posting if required for allocation runs.",F1482,178,91.20,true
3,KI235,KI,"Cost element not assigned to cost center category","The cost element {costElement} is not permitted for posting to cost center category {category}. The cost element category must match the allowed cost element groups defined for this cost center type.",TRANSACTION,"Reassign the cost element to a compatible cost center category, or post to a cost center that accepts this cost element type.",F2610,256,88.70,true
4,BU011,BU,"Posting period closed","Fiscal period {fiscalPeriod}/{fiscalYear} is closed for account type {accountType} in company code {companyCode}. Period-end close has been completed and further postings are restricted.",TRANSACTION,"Request period opening from the Finance team via workflow if posting is business-critical. Alternatively, post in the next open period.",F1515,521,96.30,true
5,KP006,KP,"Budget exceeded for cost center","The available budget for cost center {costCenter} / cost element {costElement} in fiscal year {fiscalYear} has been exceeded by {excessAmount}. Budget tolerance threshold has been breached.",TRANSACTION,"Submit a budget transfer or supplement request via workflow. Use alternative cost center with available budget as interim measure.",F0840,289,82.10,true
6,7Q299,7Q,"Missing authorization for cost center","User {userId} does not have the required authorization to perform action {action} on cost center {costCenter} in company code {companyCode}. Authorization object K_CSKS check failed.",AUTHORIZATION,"Contact your system administrator to review authorization object K_CSKS assignment. Raise an access request via the IT helpdesk if additional authorization is required.",NONE,445,99.10,true
7,KP042,KP,"Activity type not assigned to cost center","Activity type {activityType} is not assigned to cost center {costCenter} for fiscal year {fiscalYear}. Activity allocations and internal orders referencing this activity type cannot be processed.",MASTER_DATA,"Assign the activity type to the cost center in period-specific activity type planning (KP26). Verify the activity type is active for the controlling area.",F2610,134,87.40,true
8,KS124,KS,"Cost center validity expired","Cost center {costCenter} is not valid on posting date {postingDate}. The validity period defined in master data (from {validFrom} to {validTo}) does not cover the requested posting date.",MASTER_DATA,"Extend the validity period of the cost center via 'Manage Cost Centers' app. Requires Controlling team authorization. Use an alternative valid cost center as interim.",F1482,167,93.60,true
9,KI250,KI,"Allocation cycle not found","Assessment/distribution cycle {cycleName} for cost center group {costCenterGroup} in period {period} could not be found or has not been defined. The allocation run cannot execute.",CONFIG,"Define the missing allocation cycle via 'Manage Allocations' app. Verify cycle name, sender/receiver definitions, and assessment cost element assignments.",F1381,89,85.20,true
10,KO020,KO,"Internal order settlement rule missing","Internal order {orderNumber} does not have a valid settlement rule for cost center {costCenter}. Settlement cannot be executed without a defined settlement receiver.",CONFIG,"Define a settlement rule for the internal order via OKO2/KO02 transaction. Assign cost center as settlement receiver with 100% distribution.",F1377,112,90.80,true
11,F5702,F5,"Company code mismatch","The company code derived from cost center {costCenter} ({derivedCC}) does not match the company code {enteredCC} entered in the document. Cross-company code postings require specific configuration.",TRANSACTION,"Verify the correct cost center for the company code being posted to. If cross-company posting is intended, ensure intercompany settings are configured.",F1514,203,87.90,true
12,KSW1,KS,"Statistical key figure not defined","Statistical key figure {skf} is not defined for cost center {costCenter} in period {period}/{fiscalYear}. Tracing factor-based allocations cannot be executed.",CONFIG,"Enter the statistical key figure values via KB31N transaction or the Statistical Key Figure Actual Data entry app. Rerun the allocation cycle after entry.",F0844,76,88.50,true
13,KI222,KI,"Cost element group assignment missing","Cost element {costElement} is not assigned to any cost element group for controlling area {controllingArea}. This prevents proper cost categorization and reporting.",CONFIG,"Assign the cost element to the appropriate cost element group using KAH2 transaction. Coordinate with the Chart of Accounts team for correct grouping.",F2610,58,91.00,true
14,KP303,KP,"Plan version not found","Planning version {planVersion} is not defined or not active for fiscal year {fiscalYear} in controlling area {controllingArea}. Cost center planning upload failed.",CONFIG,"Create or activate the planning version in 'Manage Plan Versions' app or via transaction OKEV. Verify version is open for input.",F0840,94,89.30,true
15,GR082,GR,"Goods receipt without purchase order reference","Goods receipt posting attempted without a valid purchase order reference for account assignment to cost center {costCenter}. GR/IR clearing account posting failed.",TRANSACTION,"Create or reference the correct purchase order with cost center account assignment. Verify the purchase order is open and has remaining quantity.",F2142,145,86.70,true
16,KS125,KS,"Profit center not assigned to cost center","Profit center is not assigned to cost center {costCenter} or the assigned profit center {profitCenter} is not valid on the posting date. Profit center derivation failed.",MASTER_DATA,"Assign an active profit center to the cost center in cost center master data. Verify profit center validity period covers the posting date.",F1482,187,92.40,true
17,KP012,KP,"Budget not released for cost center","Budget for cost center {costCenter} has not been released for availability control in fiscal year {fiscalYear}. Commitment budget check cannot be performed.",TRANSACTION,"Release the budget via 'Manage Cost Center Budgets' app or KO22 transaction. Ensure budget is approved and released before enabling availability control.",F0840,102,94.10,true
18,KSW3,KS,"Cost center hierarchy assignment missing","Cost center {costCenter} is not assigned to any standard hierarchy node for controlling area {controllingArea}. Hierarchical reporting and allocation cycles referencing this hierarchy will fail.",MASTER_DATA,"Assign the cost center to the appropriate standard hierarchy node in 'Manage Cost Center Groups' app or OKEON transaction.",F1482,67,95.50,true
19,AA235,AA,"Asset posting to inactive cost center","Asset {assetNumber} is assigned to cost center {costCenter} which is currently inactive or locked. Depreciation and asset postings cannot be processed.",MASTER_DATA,"Reactivate the cost center or reassign the asset to an active cost center via asset master data change. Coordinate with Fixed Assets and Controlling teams.",F1482,89,88.80,true
20,KI261,KI,"Receiver cost center invalid for assessment","Receiver cost center {receiverCC} defined in assessment cycle {cycleName} is invalid, locked, or expired. Assessment posting to this receiver cannot be completed.",MASTER_DATA,"Update the assessment cycle receiver definition with a valid active cost center. Alternatively, unlock or extend the receiver cost center validity.",F1381,156,90.20,true
